                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
164,1.4509,1.2921,1.5745,0.70972,0.63164,0.65833,0.35366,1.7338,1.476,1.8832,0.0067726,0.0067726,0.0067726
165,1.4643,1.3049,1.5815,0.71243,0.63016,0.65851,0.354,1.7332,1.4755,1.8827,0.0067528,0.0067528,0.0067528
166,1.451,1.2882,1.5626,0.71099,0.63002,0.65941,0.35395,1.7336,1.4758,1.8829,0.006733,0.006733,0.006733
167,1.4472,1.2931,1.5669,0.70813,0.6289,0.65971,0.35437,1.7344,1.4753,1.8831,0.0067132,0.0067132,0.0067132
168,1.4493,1.2882,1.5589,0.6901,0.6485,0.65844,0.35521,1.7344,1.4737,1.883,0.0066934,0.0066934,0.0066934
169,1.444,1.2866,1.565,0.69092,0.6488,0.65806,0.35406,1.7348,1.4711,1.8835,0.0066736,0.0066736,0.0066736
170,1.4472,1.2796,1.574,0.69163,0.64929,0.65791,0.35491,1.735,1.4684,1.8835,0.0066538,0.0066538,0.0066538
171,1.433,1.2593,1.5477,0.69134,0.64896,0.65988,0.3542,1.7348,1.4676,1.8833,0.006634,0.006634,0.006634
172,1.4398,1.2832,1.5546,0.68936,0.65098,0.66018,0.35443,1.735,1.4682,1.8827,0.0066142,0.0066142,0.0066142
173,1.4308,1.2735,1.5611,0.68717,0.65266,0.66043,0.35481,1.7351,1.467,1.8831,0.0065944,0.0065944,0.0065944
174,1.4329,1.2547,1.5536,0.69183,0.65222,0.66095,0.35471,1.7349,1.4667,1.8827,0.0065746,0.0065746,0.0065746
175,1.4223,1.2306,1.5386,0.697,0.65103,0.6612,0.35498,1.735,1.4658,1.8826,0.0065548,0.0065548,0.0065548
176,1.4371,1.2548,1.5544,0.69634,0.65064,0.66157,0.35545,1.7353,1.4656,1.8829,0.006535,0.006535,0.006535
177,1.4201,1.2456,1.5454,0.69611,0.65081,0.6614,0.35503,1.7363,1.4645,1.8835,0.0065152,0.0065152,0.0065152
178,1.4191,1.2385,1.54,0.69407,0.64973,0.6636,0.35576,1.737,1.4629,1.8837,0.0064954,0.0064954,0.0064954
179,1.417,1.2306,1.5413,0.69327,0.64907,0.66378,0.35558,1.7364,1.4631,1.8837,0.0064756,0.0064756,0.0064756
180,1.4182,1.2338,1.5427,0.69426,0.64772,0.6641,0.35488,1.7364,1.4622,1.8831,0.0064558,0.0064558,0.0064558
181,1.4114,1.2396,1.5378,0.69115,0.64713,0.66521,0.35554,1.7365,1.4622,1.8826,0.006436,0.006436,0.006436
182,1.4053,1.222,1.5284,0.69236,0.64443,0.66947,0.35501,1.7369,1.4621,1.8826,0.0064162,0.0064162,0.0064162
183,1.4133,1.2399,1.5314,0.69676,0.62656,0.66724,0.35672,1.7379,1.4625,1.8834,0.0063964,0.0063964,0.0063964
184,1.3959,1.2042,1.5211,0.69831,0.62359,0.66793,0.3569,1.7374,1.4623,1.8826,0.0063766,0.0063766,0.0063766
185,1.4073,1.2132,1.5241,0.72816,0.60323,0.6671,0.35632,1.7381,1.4618,1.8826,0.0063568,0.0063568,0.0063568
186,1.4032,1.2019,1.5245,0.72901,0.60619,0.66817,0.35732,1.7392,1.461,1.8837,0.006337,0.006337,0.006337
187,1.3927,1.2015,1.5204,0.73092,0.6063,0.66902,0.35559,1.7397,1.4608,1.884,0.0063172,0.0063172,0.0063172
188,1.4043,1.203,1.5279,0.73035,0.60736,0.66889,0.35633,1.7401,1.4602,1.8843,0.0062974,0.0062974,0.0062974
189,1.3987,1.2136,1.5221,0.73088,0.60768,0.66826,0.35611,1.7405,1.46,1.8842,0.0062776,0.0062776,0.0062776
190,1.3925,1.2038,1.5208,0.73088,0.60793,0.66872,0.35674,1.7412,1.459,1.8852,0.0062578,0.0062578,0.0062578
191,1.389,1.2005,1.5169,0.73558,0.61074,0.66891,0.35654,1.7413,1.4591,1.8849,0.006238,0.006238,0.006238
192,1.3875,1.1876,1.5117,0.73641,0.60811,0.67038,0.35672,1.7423,1.4584,1.8855,0.0062182,0.0062182,0.0062182
